sales_agent,account,deal_stage,close_value,year_founded_at,revenue,number_of_employees,sales_price,sales_cycle_duration,company_size,company_age,company_age_category,is_won,engagement_month,engagement_quarter,product_complexity,agent_conversion_rate,agent_avg_deal_value,sector_employment,sector_entertainment,sector_finance,sector_marketing,sector_medical,sector_retail,sector_services,sector_software,sector_technolgy,sector_telecommunications,office_location_Belgium,office_location_Brazil,office_location_China,office_location_Germany,office_location_Italy,office_location_Japan,office_location_Jordan,office_location_Kenya,office_location_Korea,office_location_Norway,office_location_Panama,office_location_Philipines,office_location_Poland,office_location_Romania,office_location_United States,regional_office_Central,regional_office_East,regional_office_West,product_GTK 500,product_GTX Basic,product_GTX Plus Basic,product_GTX Plus Pro,product_GTX Pro,product_MG Advanced,product_MG Special,series_GTK,series_GTX,series_MG,revenue_per_employee
Moses Frase,Cancity,Won,1054.0,2001.0,718.62,2448.0,1096,132.0,Medium,23.0,Established,1.0,10.0,4.0,Intermediate,0.5972222222222222,1062.4717948717948,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0,0,1,0,0,0,0,False,True,False,0.2935539215686275
Darcel Schlecht,Isdom,Won,4514.0,2002.0,3178.24,4540.0,4821,137.0,Medium,22.0,Established,1.0,10.0,4.0,Complex,0.5693311582381729,2085.3779385171792,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0,0,0,0,1,0,0,False,True,False,0.7000528634361233
Darcel Schlecht,Cancity,Won,50.0,2001.0,718.62,2448.0,55,133.0,Medium,23.0,Established,1.0,10.0,4.0,Basic,0.5693311582381729,2085.3779385171792,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0,0,0,0,0,0,1,False,False,True,0.2935539215686275
Moses Frase,Codehow,Won,588.0,1998.0,2714.9,2641.0,550,135.0,Medium,26.0,Established,1.0,10.0,4.0,Basic,0.5972222222222222,1062.4717948717948,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0,1,0,0,0,0,0,False,True,False,1.027981825066263
Zane Levy,Hatfan,Won,517.0,1982.0,792.46,1299.0,550,128.0,Medium,42.0,Established,1.0,10.0,4.0,Basic,0.5551724137931034,1647.7701149425288,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,1,0,0,0,0,0,False,True,False,0.6100538876058507
Anna Snelling,Ron-tech,Won,49.0,1992.0,3922.42,6837.0,55,123.0,Large,32.0,Established,1.0,10.0,4.0,Basic,0.5488126649076517,818.6190476190476,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0,0,0,0,0,0,1,False,False,True,0.5737048413046658
Vicki Laflamme,J-Texon,Won,57.0,1989.0,1388.67,3583.0,55,123.0,Medium,35.0,Established,1.0,10.0,4.0,Basic,0.5909090909090909,1378.6628242074928,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,0,0,0,0,0,1,False,False,True,0.3875718671504326
Markita Hansen,Cheers,Won,601.0,1993.0,4269.9,6472.0,550,126.0,Large,31.0,Established,1.0,11.0,4.0,Basic,0.5118110236220472,1448.4229074889868,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,1,0,0,0,0,0,False,True,False,0.6597496909765141
Niesha Huffines,Zumgoity,Won,1026.0,1984.0,441.08,1210.0,1096,122.0,Medium,40.0,Established,1.0,11.0,4.0,Intermediate,0.525,1011.2057142857143,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0,0,1,0,0,0,0,False,True,False,0.3645289256198347
Anna Snelling,Bioholding,Won,53.0,2012.0,587.34,1356.0,55,126.0,Medium,12.0,Mature,1.0,11.0,4.0,Basic,0.5488126649076517,818.6190476190476,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,0,0,0,0,0,0,1,False,False,True,0.433141592920354
Gladys Colclough,Genco Pura Olive Oil Company,Lost,0.0,2007.0,894.33,1635.0,4821,134.0,Medium,17.0,Mature,0.0,11.0,4.0,Complex,0.5152671755725191,1489.9741379310344,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,0,0,1,0,0,False,True,False,0.5469908256880734
James Ascencio,Sunnamplex,Won,5169.0,2008.0,894.37,1593.0,5482,126.0,Medium,16.0,Mature,1.0,11.0,4.0,Complex,0.6053811659192825,2007.4417475728155,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,0,0,0,1,0,0,0,False,True,False,0.5614375392341494
