sales_agent,account,deal_stage,close_value,year_founded_at,revenue,number_of_employees,sales_price,sales_cycle_duration,company_size,company_age,company_age_category,is_won,engagement_month,engagement_quarter,product_complexity,agent_conversion_rate,agent_avg_deal_value,sector_employment,sector_entertainment,sector_finance,sector_marketing,sector_medical,sector_retail,sector_services,sector_software,sector_technolgy,sector_telecommunications,office_location_Belgium,office_location_Brazil,office_location_China,office_location_Germany,office_location_Italy,office_location_Japan,office_location_Jordan,office_location_Kenya,office_location_Korea,office_location_Norway,office_location_Panama,office_location_Philipines,office_location_Poland,office_location_Romania,office_location_United States,regional_office_Central,regional_office_East,regional_office_West,product_GTK 500,product_GTX Basic,product_GTX Plus Basic,product_GTX Plus Pro,product_GTX Pro,product_MG Advanced,product_MG Special,series_GTK,series_GTX,series_MG,revenue_per_employee,predicted_is_won,predicted_deal_stage
Maureen Marcano,Ganjaflex,Engaging,,1995.0,5158.71,17479.0,3393,47.98539710922366,Enterprise,29.0,Established,,11.0,4.0,Complex,0.6506550218340611,1645.0469483568074,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0,0,0,0,0,1,0,False,False,True,0.2951375936838492,1.0,Won
Maureen Marcano,Green-Plus,Engaging,,2003.0,692.19,1922.0,550,47.98539710922366,Medium,21.0,Established,,11.0,4.0,Basic,0.6506550218340611,1645.0469483568074,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,1,0,0,0,0,0,False,True,False,0.36014047866805415,1.0,Won
Corliss Cosme,Cheers,Engaging,,1993.0,4269.9,6472.0,550,47.98539710922366,Large,31.0,Established,,11.0,4.0,Basic,0.5859375,1838.585152838428,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0,1,0,0,0,0,0,False,True,False,0.6597496909765141,1.0,Won
Markita Hansen,Lexiqvolax,Engaging,,2004.0,1618.89,3889.0,55,47.98539710922366,Medium,20.0,Mature,,11.0,4.0,Basic,0.5118110236220472,1448.4229074889868,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,0,0,0,0,0,1,False,False,True,0.41627410645410134,1.0,Won
Daniell Hammack,J-Texon,Engaging,,1989.0,1388.67,3583.0,1096,47.98539710922366,Medium,35.0,Established,,11.0,4.0,Intermediate,0.5377358490566038,1947.7486631016043,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0,0,1,0,0,0,0,False,True,False,0.3875718671504326,1.0,Won
Kami Bicknell,Bubba Gump,Engaging,,2002.0,987.39,2253.0,1096,47.98539710922366,Medium,22.0,Established,,11.0,4.0,Intermediate,0.5780730897009967,1163.4411764705883,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,0,1,0,0,0,0,False,True,False,0.43825565912117176,1.0,Won
Markita Hansen,Opentech,Engaging,,1994.0,355.23,853.0,3393,47.98539710922366,Small,30.0,Established,,11.0,4.0,Complex,0.5118110236220472,1448.4229074889868,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,0,0,0,0,1,0,False,False,True,0.4164478311840563,1.0,Won
Daniell Hammack,Stanredtax,Engaging,,1987.0,1698.2,3798.0,4821,47.98539710922366,Medium,37.0,Established,,12.0,4.0,Complex,0.5377358490566038,1947.7486631016043,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0,0,0,0,1,0,0,False,True,False,0.4471300684570827,1.0,Won
Cassey Cress,Plussunin,Engaging,,2003.0,1419.98,4018.0,4821,47.98539710922366,Medium,21.0,Established,,12.0,4.0,Complex,0.5620689655172414,1726.0114942528735,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0,0,0,0,1,0,0,False,True,False,0.35340467894474864,1.0,Won
Kary Hendrixson,Hottechi,Engaging,,1997.0,8170.38,16499.0,1096,47.98539710922366,Enterprise,27.0,Established,,12.0,4.0,Intermediate,0.5618279569892473,1356.113432835821,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0,0,1,0,0,0,0,False,True,False,0.495204557851991,1.0,Won
