sales_agent,account,deal_stage,engage_at,close_at,close_value,year_founded_at,revenue,number_of_employees,sales_price,sales_cycle_duration,company_size,company_age,company_age_category,is_won,engagement_month,engagement_quarter,product_complexity,agent_conversion_rate,agent_avg_deal_value,sector_employment,sector_entertainment,sector_finance,sector_marketing,sector_medical,sector_retail,sector_services,sector_software,sector_technolgy,sector_telecommunications,office_location_Belgium,office_location_Brazil,office_location_China,office_location_Germany,office_location_Italy,office_location_Japan,office_location_Jordan,office_location_Kenya,office_location_Korea,office_location_Norway,office_location_Panama,office_location_Philipines,office_location_Poland,office_location_Romania,office_location_United States,regional_office_Central,regional_office_East,regional_office_West,product_GTK 500,product_GTX Basic,product_GTX Plus Basic,product_GTX Plus Pro,product_GTX Pro,product_MG Advanced,product_MG Special,series_GTK,series_GTX,series_MG
Moses Frase,Cancity,Won,2016-10-20,2017-03-01,1054.0,2001.0,718.62,2448.0,1096,132.0,Medium,23.0,Established,1,10.0,4.0,Intermediate,0.5972222222222222,1062.4717948717948,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False
Darcel Schlecht,Isdom,Won,2016-10-25,2017-03-11,4514.0,2002.0,3178.24,4540.0,4821,137.0,Medium,22.0,Established,1,10.0,4.0,Complex,0.5693311582381729,2085.3779385171792,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False
Darcel Schlecht,Cancity,Won,2016-10-25,2017-03-07,50.0,2001.0,718.62,2448.0,55,133.0,Medium,23.0,Established,1,10.0,4.0,Basic,0.5693311582381729,2085.3779385171792,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True
Moses Frase,Codehow,Won,2016-10-25,2017-03-09,588.0,1998.0,2714.9,2641.0,550,135.0,Medium,26.0,Established,1,10.0,4.0,Basic,0.5972222222222222,1062.4717948717948,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False
Zane Levy,Hatfan,Won,2016-10-25,2017-03-02,517.0,1982.0,792.46,1299.0,550,128.0,Medium,42.0,Established,1,10.0,4.0,Basic,0.5551724137931034,1647.7701149425288,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False
Anna Snelling,Ron-tech,Won,2016-10-29,2017-03-01,49.0,1992.0,3922.42,6837.0,55,123.0,Large,32.0,Established,1,10.0,4.0,Basic,0.5488126649076517,818.6190476190476,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True
Vicki Laflamme,J-Texon,Won,2016-10-30,2017-03-02,57.0,1989.0,1388.67,3583.0,55,123.0,Medium,35.0,Established,1,10.0,4.0,Basic,0.5909090909090909,1378.6628242074928,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True
Markita Hansen,Cheers,Won,2016-11-01,2017-03-07,601.0,1993.0,4269.9,6472.0,550,126.0,Large,31.0,Established,1,11.0,4.0,Basic,0.5118110236220472,1448.4229074889868,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False
Niesha Huffines,Zumgoity,Won,2016-11-01,2017-03-03,1026.0,1984.0,441.08,1210.0,1096,122.0,Medium,40.0,Established,1,11.0,4.0,Intermediate,0.525,1011.2057142857143,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False
Anna Snelling,Bioholding,Won,2016-11-04,2017-03-10,53.0,2012.0,587.34,1356.0,55,126.0,Medium,12.0,Mature,1,11.0,4.0,Basic,0.5488126649076517,818.6190476190476,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
Gladys Colclough,Genco Pura Olive Oil Company,Lost,2016-11-04,2017-03-18,0.0,2007.0,894.33,1635.0,4821,134.0,Medium,17.0,Mature,0,11.0,4.0,Complex,0.5152671755725191,1489.9741379310344,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
James Ascencio,Sunnamplex,Won,2016-11-04,2017-03-10,5169.0,2008.0,894.37,1593.0,5482,126.0,Medium,16.0,Mature,1,11.0,4.0,Complex,0.6053811659192825,2007.4417475728155,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
Maureen Marcano,Sonron,Won,2016-11-04,2017-03-06,4631.0,1999.0,1699.85,5108.0,5482,122.0,Large,25.0,Established,1,11.0,4.0,Complex,0.6506550218340611,1645.0469483568074,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False
Hayden Neloms,Finjob,Won,2016-11-05,2017-03-11,3393.0,1988.0,2059.9,3644.0,3393,126.0,Medium,36.0,Established,1,11.0,4.0,Complex,0.6445783132530121,1790.203947368421,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True
Rosalina Dieter,Sonron,Lost,2016-11-05,2017-03-03,0.0,1999.0,1699.85,5108.0,55,118.0,Large,25.0,Established,0,11.0,4.0,Basic,0.5714285714285714,2140.0272727272727,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True
Rosalina Dieter,Scotfind,Won,2016-11-05,2017-03-06,3284.0,1996.0,6354.87,16780.0,3393,121.0,Enterprise,28.0,Established,1,11.0,4.0,Complex,0.5714285714285714,2140.0272727272727,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True
Versie Hillebrand,Treequote,Won,2016-11-06,2017-03-05,61.0,1988.0,5266.09,8595.0,55,119.0,Large,36.0,Established,1,11.0,4.0,Basic,0.6027397260273972,710.9583333333334,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True
Daniell Hammack,Xx-zobam,Lost,2016-11-07,2017-03-09,0.0,1989.0,3838.39,8274.0,4821,122.0,Large,35.0,Established,0,11.0,4.0,Complex,0.5377358490566038,1947.7486631016043,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False
Elease Gluck,Rantouch,Won,2016-11-07,2017-03-08,46.0,1994.0,1188.42,3015.0,55,121.0,Medium,30.0,Established,1,11.0,4.0,Basic,0.5555555555555556,2295.1984126984125,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True
James Ascencio,Fasehatice,Lost,2016-11-07,2017-03-17,0.0,1990.0,4968.91,7523.0,5482,130.0,Large,34.0,Established,0,11.0,4.0,Complex,0.6053811659192825,2007.4417475728155,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False
Moses Frase,Ron-tech,Won,2016-11-07,2017-03-18,50.0,1992.0,3922.42,6837.0,55,131.0,Large,32.0,Established,1,11.0,4.0,Basic,0.5972222222222222,1062.4717948717948,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True
Violet Mclelland,Vehement Capital Partners,Won,2016-11-07,2017-03-11,1014.0,1993.0,646.1,883.0,1096,124.0,Small,31.0,Established,1,11.0,4.0,Intermediate,0.5727699530516432,639.5388601036269,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False
